year,Rank,Artist,Title,Spotify_Popularity,Artist_Popularity
1963,52,Bobby Vinton,Blue On Blue,39,59
1963,53,Garnet Mimms and The Enchanters,Cry Baby,-1,26
1963,54,Lou Christie,Two Faces Have I,30,35
1963,55,Ray Charles,Busted,-1,69
1963,56,Crystals,Da Doo Ron Ron,-1,58
1963,57,Shirelles,Foolish Little Girl,-1,55
1963,58,Lonnie Mack,Memphis,-1,35
1963,59,Roy Orbison,In Dreams,55,68
1963,60,Kal Winding,More,-1,-1
1963,61,Rick Nelson,Fools Rush In,-1,0
1963,62,Brenda Lee,Losing You,31,75
1963,63,Bill Pursell,Our Winter Love,15,13
1963,64,Tony Bennett,I Wanna Be Around,34,74
1963,65,Miracles,You’ve Really Got A Hold On Me,-1,62
1963,66,Jaynetts,Sally Go ‘Round The Roses,-1,21
1963,67,Sam Cooke,Little Red Rooster,37,70
1963,68,Crystals,Then He Kissed Me,-1,58
1963,69,Elvis Presley,(You’re The) Devil In Disguise,-1,81
1963,70,Nat King Cole,Those Lazy Hazy Crazy Days Of Summer,-1,78
1963,71,Jackie Wilson,Baby Workout,22,62
1963,72,Marvin Gaye,Pride And Joy,29,76
1963,73,Rufus Thomas,Walking The Dog,32,44
1963,74,Ned Miller,From A Jack To A King,-1,28
1963,75,Drifters,Up On The Roof,-1,64
1963,76,Johnny Mathis,What Will My Mary Say,-1,67
1963,77,Jan Bradley,Mama Didn’t Lie,-1,14
1963,78,Bobby Vee,The Night Has A Thousand Eyes,37,53
1963,79,The Cookies,Don’t Say Nothin’ Bad About My Baby,-1,24
1963,80,Johnny Cash,Ring Of Fire,68,78
1963,81,Doris Troy,Just One Look,-1,35
1963,82,Allan Sherman,"Hello Muddah, Hello Fadduh! (A Letter From Camp)",-1,33
1963,83,Lesley Gore,Judy’s Turn To Cry,-1,53
1963,84,Roll Harris,"Tie Me Kangaroo Down, Sport",-1,-1
1963,85,Miracles,Mickey’s Monkey,-1,62
1963,86,Dion,"Donna, The Prima Donna",39,78
1963,87,Nat King Cole,"That Sunday, That Summer",-1,78
1963,88,Sam Cooke,Another Saturday Night,38,70
1963,89,Al Martino,"Painted, Tainted Rose",-1,47
1963,90,Dixiebelles With Cornbread and Jerry,(Down At) Papa Joe’s,-1,-1
